MonthDay;Hour of day;Consumption;Rate
12/4;23;0.39;Off-peak
12/5;0;0.31;Off-peak
12/5;1;0.33;Off-peak
12/5;2;0.27;Off-peak
12/5;3;0.26;Off-peak
12/5;4;0.28;Off-peak
12/5;5;0.41;Off-peak
12/5;6;0.28;Off-peak
12/5;7;0.3;Off-peak
12/5;8;0.37;On-peak
12/5;9;0.26;On-peak
12/5;10;0.36;On-peak
12/5;11;0.35;On-peak
12/5;12;0.4;Mid-peak
12/5;13;0.4;Mid-peak
12/5;14;0.35;Mid-peak
12/5;15;0.35;Mid-peak
12/5;16;0.42;Mid-peak
12/5;17;0.36;Mid-peak
12/5;18;0.31;On-peak
12/5;19;0.38;On-peak
12/5;20;0.54;Off-peak
12/5;21;0.51;Off-peak
12/5;22;0.46;Off-peak
12/5;23;0.36;Off-peak
12/6;0;0.41;Off-peak
12/6;1;0.3;Off-peak
12/6;2;0.27;Off-peak
12/6;3;0.28;Off-peak
12/6;4;0.31;Off-peak
12/6;5;0.3;Off-peak
12/6;6;0.28;Off-peak
12/6;7;0.31;Off-peak
12/6;8;0.34;On-peak
12/6;9;0.28;On-peak
12/6;10;1.11;On-peak
12/6;11;1.62;On-peak
12/6;12;0.93;Mid-peak
12/6;13;0.36;Mid-peak
12/6;14;0.27;Mid-peak
12/6;15;0.34;Mid-peak
12/6;16;0.5;Mid-peak
12/6;17;0.35;Mid-peak
12/6;18;0.4;On-peak
12/6;19;0.48;On-peak
12/6;20;0.46;Off-peak
12/6;21;0.45;Off-peak
12/6;22;0.5;Off-peak
12/6;23;0.48;Off-peak
12/7;0;0.4;Off-peak
12/7;1;0.33;Off-peak
12/7;2;0.28;Off-peak
12/7;3;0.29;Off-peak
12/7;4;0.3;Off-peak
12/7;5;0.31;Off-peak
12/7;6;0.28;Off-peak
12/7;7;0.4;Off-peak
12/7;8;0.29;On-peak
12/7;9;0.27;On-peak
12/7;10;0.33;On-peak
12/7;11;0.36;On-peak
12/7;12;1.82;Mid-peak
12/7;13;0.37;Mid-peak
12/7;14;0.29;Mid-peak
12/7;15;0.33;Mid-peak
12/7;16;0.39;Mid-peak
12/7;17;0.34;Mid-peak
12/7;18;0.43;On-peak
12/7;19;0.39;On-peak
12/7;20;0.37;Off-peak
12/7;21;0.44;Off-peak
12/7;22;0.43;Off-peak
12/7;23;0.54;Off-peak
12/8;0;0.32;Off-peak
12/8;1;0.32;Off-peak
12/8;2;0.3;Off-peak
12/8;3;0.38;Off-peak
12/8;4;0.31;Off-peak
12/8;5;0.3;Off-peak
12/8;6;0.29;Off-peak
12/8;7;0.38;Off-peak
12/8;8;0.28;On-peak
12/8;9;0.3;On-peak
12/8;10;0.34;On-peak
12/8;11;1.15;On-peak
12/8;12;1.36;Mid-peak
12/8;13;0.32;Mid-peak
12/8;14;0.27;Mid-peak
12/8;15;0.29;Mid-peak
12/8;16;0.4;Mid-peak
12/8;17;0.36;Mid-peak
12/8;18;0.43;On-peak
12/8;19;0.42;On-peak
12/8;20;0.31;Off-peak
12/8;21;0.36;Off-peak
12/8;22;0.41;Off-peak
12/8;23;0.4;Off-peak
12/9;0;0.3;Off-peak
12/9;1;0.28;Off-peak
12/9;2;0.27;Off-peak
12/9;3;0.25;Off-peak
12/9;4;0.29;Off-peak
12/9;5;0.29;Off-peak
12/9;6;0.26;Off-peak
12/9;7;0.33;Off-peak
12/9;8;0.34;On-peak
12/9;9;0.28;On-peak
12/9;10;0.4;On-peak
12/9;11;0.33;On-peak
12/9;12;0.39;Mid-peak
12/9;13;0.4;Mid-peak
12/9;14;0.27;Mid-peak
12/9;15;0.34;Mid-peak
12/9;16;0.42;Mid-peak
12/9;17;0.37;Mid-peak
12/9;18;0.32;On-peak
12/9;19;0.29;On-peak
12/9;20;0.34;Off-peak
12/9;21;0.28;Off-peak
12/9;22;0.29;Off-peak
12/9;23;0.31;Off-peak
12/10;0;0.32;Off-peak
12/10;1;0.31;Off-peak
12/10;2;0.27;Off-peak
12/10;3;0.26;Off-peak
12/10;4;0.28;Off-peak
12/10;5;0.28;Off-peak
12/10;6;0.27;Off-peak
12/10;7;0.28;Off-peak
12/10;8;0.38;Off-peak
12/10;9;0.41;Off-peak
12/10;10;0.47;Off-peak
12/10;11;3.63;Off-peak
12/10;12;0.42;Off-peak
12/10;13;0.36;Off-peak
12/10;14;0.47;Off-peak
12/10;15;0.31;Off-peak
12/10;16;0.3;Off-peak
12/10;17;3.73;Off-peak
12/10;18;0.59;Off-peak
12/10;19;0.5;Off-peak
12/10;20;0.32;Off-peak
12/10;21;0.32;Off-peak
12/10;22;0.32;Off-peak
12/10;23;0.3;Off-peak
12/11;0;0.39;Off-peak
12/11;1;0.31;Off-peak
12/11;2;0.28;Off-peak
12/11;3;0.27;Off-peak
12/11;4;0.37;Off-peak
12/11;5;0.3;Off-peak
12/11;6;0.28;Off-peak
12/11;7;0.28;Off-peak
12/11;8;0.3;Off-peak
12/11;9;0.52;Off-peak
12/11;10;0.52;Off-peak
12/11;11;0.44;Off-peak
12/11;12;0.36;Off-peak
12/11;13;0.25;Off-peak
12/11;14;0.28;Off-peak
12/11;15;0.3;Off-peak
12/11;16;0.4;Off-peak
12/11;17;0.28;Off-peak
12/11;18;0.37;Off-peak
12/11;19;0.8;Off-peak
12/11;20;0.68;Off-peak
12/11;21;0.75;Off-peak
12/11;22;0.67;Off-peak
12/11;23;0.52;Off-peak
12/12;0;0.44;Off-peak
12/12;1;0.34;Off-peak
12/12;2;0.28;Off-peak
12/12;3;0.29;Off-peak
12/12;4;0.28;Off-peak
12/12;5;0.32;Off-peak
12/12;6;0.28;Off-peak
12/12;7;0.4;Off-peak
12/12;8;0.35;On-peak
12/12;9;0.27;On-peak
12/12;10;3.33;On-peak
12/12;11;0.37;On-peak
12/12;12;0.36;Mid-peak
12/12;13;0.75;Mid-peak
12/12;14;0.35;Mid-peak
12/12;15;0.35;Mid-peak
12/12;16;0.35;Mid-peak
12/12;17;0.33;Mid-peak
12/12;18;0.31;On-peak
12/12;19;0.41;On-peak
12/12;20;0.89;Off-peak
12/12;21;0.43;Off-peak
12/12;22;0.54;Off-peak
12/12;23;0.45;Off-peak
12/13;0;0.39;Off-peak
12/13;1;0.34;Off-peak
12/13;2;0.27;Off-peak
12/13;3;0.26;Off-peak
12/13;4;0.32;Off-peak
12/13;5;0.29;Off-peak
12/13;6;0.28;Off-peak
12/13;7;0.32;Off-peak
12/13;8;0.33;On-peak
12/13;9;0.27;On-peak
12/13;10;0.32;On-peak
12/13;11;0.82;On-peak
12/13;12;1.46;Mid-peak
12/13;13;0.35;Mid-peak
12/13;14;0.27;Mid-peak
12/13;15;0.26;Mid-peak
12/13;16;0.35;Mid-peak
12/13;17;0.34;Mid-peak
12/13;18;0.46;On-peak
12/13;19;0.49;On-peak
12/13;20;0.4;Off-peak
12/13;21;0.4;Off-peak
12/13;22;0.5;Off-peak
12/13;23;0.4;Off-peak
12/14;0;0.37;Off-peak
